2026-02-09 08:32:39.510 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/evidence
2026-02-09 08:32:39.510 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/mount
2026-02-09 08:32:39.511 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/recovered
2026-02-09 08:32:39.511 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/carved
2026-02-09 08:32:39.511 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/temp
2026-02-09 08:32:39.511 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/reports
2026-02-09 08:32:39.511 | INFO     | app.main:lifespan:75 | ✓ Created directory: logs
2026-02-09 08:32:39.513 | INFO     | app.main:lifespan:80 | ✓ Database initialized successfully
2026-02-09 08:32:39.513 | INFO     | app.main:lifespan:85 | ✓ Application startup complete
2026-02-09 08:33:02.001 | INFO     | app.main:lifespan:90 | 👋 Shutting down NTFS Forensic Recovery System
2026-02-09 08:33:02.001 | INFO     | app.main:lifespan:94 | ✓ Database connections closed
2026-02-09 08:33:02.494 | INFO     | app.main:lifespan:60 | 🚀 Starting NTFS Forensic Recovery System
2026-02-09 08:33:02.494 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/evidence
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/mount
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/recovered
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/carved
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/temp
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: storage/reports
2026-02-09 08:33:02.495 | INFO     | app.main:lifespan:75 | ✓ Created directory: logs
2026-02-09 08:33:02.497 | INFO     | app.main:lifespan:80 | ✓ Database initialized successfully
2026-02-09 08:33:02.497 | INFO     | app.main:lifespan:85 | ✓ Application startup complete
